DiaChi,NgayCap,TenHinhThuc
Quận 10,2013-11-05 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2015-07-10 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-10-22 00:00:00,PK Nội tổng hợp
Quận 5,2014-07-14 00:00:00,PKCK Sản phụ khoa
Quận 5,2014-12-19 00:00:00,Bệnh viện chuyên khoa
Bình Thạnh,2013-11-29 00:00:00,PKCK Nhi
Quận 8,2013-05-24 00:00:00,PK Nội tổng hợp
Tân Bình,2014-02-13 00:00:00,PKCK Mắt
Quận 4,2014-07-14 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 5,2015-01-06 00:00:00,PK Nội tổng hợp
Quận 10,2015-03-04 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-10-22 00:00:00,PKCK Nhi
Tân Phú,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-04-22 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2014-07-25 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2013-11-05 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-01-16 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2013-12-17 00:00:00,PKCK Nhi
Quận 6,2013-11-13 00:00:00,PK Nội tổng hợp
Quận 3,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-01-22 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2013-10-15 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-12-06 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2014-05-08 00:00:00,PK Nội tổng hợp
Quận 1,2014-05-08 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2013-02-26 00:00:00,PK Nội tổng hợp
Tân Phú,2013-10-01 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-05-24 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Chánh,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-02-12 00:00:00,PK Nội tổng hợp
Quận 10,2014-04-15 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2016-07-15 00:00:00,PK đa khoa
Tân Phú,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-06-25 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 10,2013-10-09 00:00:00,PK Chẩn đoán hình ảnh
Quận 3,2014-03-19 00:00:00,PKCK Sản phụ khoa
Quận 7,2014-10-29 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2016-10-17 00:00:00,PKCK Da liễu
Quận 12,2013-12-03 00:00:00,PK Nội tổng hợp
Quận 1,2017-04-25 00:00:00,PKCK Da liễu
Bình Thạnh,2015-05-11 00:00:00,PKCK Ung bướu
Hóc Môn,2014-10-29 00:00:00,Cơ sở dịch vụ làm răng giả
Tân Bình,2015-10-15 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-10-27 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2017-05-09 00:00:00,PK Nội tổng hợp
Quận 7,2015-10-29 00:00:00,PKCK Ngoại
Tân Bình,2013-10-24 00:00:00,PKCK Sản phụ khoa
Quận 1,2013-07-24 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2015-12-25 00:00:00,PKCK Sản phụ khoa
Bình Tân,2013-10-23 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2015-08-04 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2014-08-13 00:00:00,PKCK Nhi
Quận 3,2013-10-02 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2013-09-30 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2015-02-06 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-08-13 00:00:00,PKCK Mắt
Bình Chánh,2014-09-24 00:00:00,PKCK Nhi
Quận 10,2014-01-08 00:00:00,PK đa khoa
Quận 1,2014-10-23 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2015-04-01 00:00:00,PKCK Tâm thần
Bình Tân,2015-12-02 00:00:00,PKCK Tai Mũi Họng
Quận 11,2015-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-09-11 00:00:00,PK đa khoa
Quận 8,2014-10-28 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2013-11-05 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-02-13 00:00:00,PK Nội tổng hợp
Bình Tân,2017-07-20 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-05-05 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-07-09 00:00:00,PKCK Nhi
Gò Vấp,2013-10-24 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-05-06 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-12-10 00:00:00,PKCK Tai Mũi Họng
Củ Chi,2014-10-29 00:00:00,PK Nội tổng hợp
Quận 8,2013-09-05 00:00:00,PK Nội tổng hợp
Quận 7,2014-07-17 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-08-08 00:00:00,PKCK Nhi
Bình Thạnh,2014-05-15 00:00:00,PK Nội tổng hợp
Quận 1,2013-12-17 00:00:00,PK Nội tổng hợp
Quận 8,2013-12-16 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-12-06 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-04-22 00:00:00,PKCK Sản phụ khoa
Quận 6,2015-12-24 00:00:00,Trạm y tế phường xã 
Quận 7,2015-09-08 00:00:00,PK đa khoa
Củ Chi,2014-05-15 00:00:00,PK Nội tổng hợp
Quận 10,2013-06-17 00:00:00,PK đa khoa
Tân Phú,2014-04-24 00:00:00,PK Nội tổng hợp
Bình Chánh,2013-10-08 00:00:00,PK Nội tổng hợp
Bình Tân,2015-02-06 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2014-04-22 00:00:00,PKCK Tai Mũi Họng
Bình Tân,2014-11-11 00:00:00,PKCK Phục hồi chức năng
Quận 12,2013-12-17 00:00:00,PKCK Nhi
Tân Phú,2015-12-21 00:00:00,PK bác sĩ gia đình tư nhân độc lập
Bình Thạnh,2014-03-24 00:00:00,PKCK Phục hồi chức năng
Gò Vấp,2014-03-20 00:00:00,PK đa khoa
Bình Thạnh,2014-07-25 00:00:00,PK Nội tổng hợp
Quận 5,2015-05-29 00:00:00,Phòng xét nghiệm
Quận 7,2015-11-03 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2014-10-31 00:00:00,Phòng chẩn trị y học cổ truyền
Nhà Bè,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2014-05-06 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2014-05-06 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 1,2013-12-20 00:00:00,PK Nội tổng hợp
Quận 10,2014-04-15 00:00:00,PKCK Tai Mũi Họng
Củ Chi,2013-12-17 00:00:00,PK Nội tổng hợp
Quận 1,2013-02-26 00:00:00,PKCK Phẫu thuật thẩm mỹ
Bình Thạnh,2017-09-18 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2013-12-16 00:00:00,PK Nội tổng hợp
Bình Thạnh,2013-05-21 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-05-03 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Thạnh,2014-04-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2014-05-06 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2013-12-17 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-03-04 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 5,2014-06-13 00:00:00,PKCK Da liễu
Quận 5,2017-01-12 00:00:00,PKCK Phẫu thuật thẩm mỹ
Tân Bình,2014-02-25 00:00:00,PKCK Tai Mũi Họng
Quận 10,2016-07-29 00:00:00,PKCK Phẫu thuật thẩm mỹ
Hóc Môn,2017-07-20 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2017-07-13 00:00:00,PKCK Phẫu thuật thẩm mỹ
TP. Thủ Đức,2014-03-19 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-07-09 00:00:00,PK Nội tổng hợp
Quận 1,2015-11-11 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2013-10-18 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2014-05-15 00:00:00,PKCK Tâm thần
TP. Thủ Đức,2013-12-06 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2015-03-04 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-05-06 00:00:00,PKCK Phục hồi chức năng
TP. Thủ Đức,2013-08-14 00:00:00,PKCK Nội tiết
Hóc Môn,2013-08-08 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-04-22 00:00:00,PKCK Nhi
Quận 1,2015-12-18 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 7,2014-02-25 00:00:00,PKCK Phục hồi chức năng
Quận 1,2015-08-20 00:00:00,PK Nội tổng hợp
Tân Bình,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2013-11-07 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 3,2015-02-14 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 1,2013-08-06 00:00:00,Phòng chẩn trị y học cổ truyền
TP. Thủ Đức,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2013-10-31 00:00:00,PK Nội tổng hợp
Tân Phú,2014-03-25 00:00:00,PKCK Phục hồi chức năng
Quận 5,2014-05-06 00:00:00,PK Nội tổng hợp
Tân Phú,2014-11-10 00:00:00,PK Nội tổng hợp
Quận 5,2014-03-24 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-10-23 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2015-06-04 00:00:00,PKCK Phục hồi chức năng
Bình Thạnh,2013-12-06 00:00:00,PKCK Tai Mũi Họng
Quận 7,2015-07-03 00:00:00,PK đa khoa
Quận 7,2014-04-21 00:00:00,PKCK Răng Hàm Mặt
Nhà Bè,2015-05-11 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 8,2015-12-02 00:00:00,PK Nội tổng hợp
Quận 6,2013-10-15 00:00:00,PKCK Răng Hàm Mặt
Quận 8,2014-07-17 00:00:00,PKCK Ngoại
TP. Thủ Đức,2013-01-14 00:00:00,PK đa khoa
Quận 5,2017-05-24 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-07-09 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-02-11 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-02-13 00:00:00,PKCK Nội thần kinh
Quận 11,2015-10-15 00:00:00,PKCK Tai Mũi Họng
Quận 5,2015-06-29 00:00:00,Bệnh viện chuyên khoa
Quận 12,2014-04-24 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2014-05-30 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-07-17 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 1,2013-07-09 00:00:00,PKCK Nhi
Tân Bình,2013-11-25 00:00:00,PKCK Sản phụ khoa
Quận 10,2017-06-02 00:00:00,PKCK Tai Mũi Họng
Quận 11,2013-12-12 00:00:00,PKCK Tai Mũi Họng
Quận 12,2015-09-17 00:00:00,PKCK Răng Hàm Mặt
Quận 12,2015-04-23 00:00:00,PK Chẩn đoán hình ảnh
Quận 5,2014-05-30 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-08-04 00:00:00,PK đa khoa
Quận 5,2015-11-16 00:00:00,PK Nội tổng hợp
Quận 3,2014-04-17 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2014-07-14 00:00:00,PK Nội tổng hợp
Quận 10,2014-06-17 00:00:00,PK Nội tổng hợp
Gò Vấp,2013-12-12 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2015-05-06 00:00:00,PK Nội tổng hợp
Bình Chánh,2015-07-24 00:00:00,PK Nội tổng hợp
Quận 11,2014-07-25 00:00:00,PKCK Tâm thần
Bình Thạnh,2013-12-06 00:00:00,PKCK Mắt
Bình Chánh,2014-03-19 00:00:00,PK Nội tổng hợp
Tân Phú,2014-09-24 00:00:00,PK Nội tổng hợp
Quận 5,2014-05-06 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-02-13 00:00:00,PKCK Răng Hàm Mặt
Quận 4,2013-12-16 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2017-05-09 00:00:00,PKCK Ung bướu
Bình Thạnh,2014-10-30 00:00:00,PK Nội tổng hợp
Quận 11,2015-12-08 00:00:00,PKCK Tai Mũi Họng
Quận 8,2014-05-08 00:00:00,PKCK Sản phụ khoa
Bình Tân,2013-04-22 00:00:00,PK Nội tổng hợp
Nhà Bè,2015-08-20 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-04-17 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-07-14 00:00:00,PKCK Sản phụ khoa
Quận 5,2013-10-24 00:00:00,PKCK Sản phụ khoa
Quận 1,2015-04-01 00:00:00,PKCK Mắt
TP. Thủ Đức,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Tân,2014-12-08 00:00:00,PKCK Nội Tim mạch
Quận 4,2013-10-03 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-04-22 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 5,2014-06-17 00:00:00,PKCK Tai Mũi Họng
Quận 7,2014-07-17 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-07-09 00:00:00,PKCK Ung bướu
Tân Bình,2014-05-30 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-04-17 00:00:00,PK Nội tổng hợp
Quận 3,2014-07-04 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2013-05-04 00:00:00,PK Nội tổng hợp
Quận 1,2013-11-29 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-04-22 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2013-10-31 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-10-30 00:00:00,PK Nội tổng hợp
Quận 1,2013-08-08 00:00:00,PKCK Phẫu thuật thẩm mỹ
Quận 11,2013-07-02 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2013-02-06 00:00:00,PK đa khoa
Nhà Bè,2014-04-22 00:00:00,PK Nội tổng hợp
Phú Nhuận,2014-08-13 00:00:00,PKCK Sản phụ khoa
Tân Bình,2015-08-12 00:00:00,PKCK Ung bướu
Củ Chi,2015-09-11 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2015-02-06 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-10-09 00:00:00,PKCK Tai Mũi Họng
Quận 10,2014-09-22 00:00:00,PKCK Sản phụ khoa
Tân Phú,2014-11-10 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2015-09-11 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-04-22 00:00:00,PK Nội tổng hợp
Tân Phú,2013-08-14 00:00:00,PK Nội tổng hợp
Quận 3,2014-02-25 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Phú,2013-01-16 00:00:00,PK Nội tổng hợp
Quận 6,2014-02-12 00:00:00,PKCK Sản phụ khoa
Gò Vấp,2014-05-30 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2015-08-14 00:00:00,PK Nội tổng hợp
Quận 4,2013-11-05 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2014-05-06 00:00:00,PK Nội tổng hợp
Quận 10,2014-01-22 00:00:00,PKCK Sản phụ khoa
Quận 3,2013-12-06 00:00:00,PKCK Tai Mũi Họng
Quận 6,2013-03-22 00:00:00,PK Nội tổng hợp
Quận 5,2014-02-12 00:00:00,PKCK Mắt
Tân Phú,2015-12-08 00:00:00,PKCK Ngoại thần kinh
Quận 3,2014-04-15 00:00:00,PKCK Nội thần kinh
Nhà Bè,2014-02-12 00:00:00,PK Chẩn đoán hình ảnh
Tân Phú,2014-11-10 00:00:00,PK Nội tổng hợp
Quận 1,2014-09-18 00:00:00,PK đa khoa
Quận 12,2014-04-15 00:00:00,PK Nội tổng hợp
Quận 10,2015-07-03 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2013-12-20 00:00:00,PKCK Tai Mũi Họng
Quận 5,2013-12-13 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-11-18 00:00:00,PKCK Răng Hàm Mặt
Hóc Môn,2014-11-10 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-10-31 00:00:00,PK Nội tổng hợp
Quận 11,2013-12-11 00:00:00,PK Nội tổng hợp
Quận 7,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-10-09 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-04-01 00:00:00,PKCK Răng Hàm Mặt
Phú Nhuận,2014-08-13 00:00:00,PKCK Da liễu
Quận 11,2013-09-20 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2017-05-15 00:00:00,PKCK Răng Hàm Mặt
Củ Chi,2013-08-08 00:00:00,PK Nội tổng hợp
Quận 10,2013-09-09 00:00:00,PKCK Da liễu
Quận 11,2015-08-04 00:00:00,PK Nội tổng hợp
Bình Tân,2015-12-08 00:00:00,PK Nội tổng hợp
Quận 11,2015-05-28 00:00:00,PK Chẩn đoán hình ảnh
Bình Tân,2014-06-04 00:00:00,PK Nội tổng hợp
Quận 1,2014-07-17 00:00:00,PKCK Nhi
Quận 3,2013-10-23 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2014-05-30 00:00:00,PKCK Sản phụ khoa
Quận 5,2014-04-22 00:00:00,PKCK Da liễu
Quận 11,2014-05-30 00:00:00,PK Nội tổng hợp
Bình Tân,2013-11-25 00:00:00,PKCK Nhi
Quận 5,2014-05-06 00:00:00,PK Nội tổng hợp
Bình Thạnh,2014-04-17 00:00:00,PKCK Ung bướu
Quận 5,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 7,2014-03-18 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-10-30 00:00:00,PK Nội tổng hợp
Hóc Môn,2014-05-08 00:00:00,PK Nội tổng hợp
Bình Thạnh,2015-04-01 00:00:00,PK Nội tổng hợp
Bình Tân,2013-11-25 00:00:00,PK Nội tổng hợp
Quận 10,2014-03-24 00:00:00,PKCK Ngoại
Quận 8,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 5,2013-12-09 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2014-11-26 00:00:00,PKCK Nhi
Quận 6,2016-11-21 00:00:00,PKCK Nhi
Quận 5,2014-05-30 00:00:00,PK Nội tổng hợp
Quận 1,2014-10-30 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2014-04-18 00:00:00,PKCK Ngoại
Quận 5,2014-08-13 00:00:00,PK Nội tổng hợp
Bình Thạnh,2013-07-09 00:00:00,PK Nội tổng hợp
Quận 4,2014-02-25 00:00:00,PKCK Sản phụ khoa
Quận 10,2013-12-17 00:00:00,PK Nội tổng hợp
Quận 12,2016-09-12 00:00:00,PKCK Da liễu
Quận 5,2014-05-06 00:00:00,PKCK Nhi
Bình Tân,2014-02-20 00:00:00,PKCK Răng Hàm Mặt
Quận 3,2015-01-06 00:00:00,PKCK Ngoại
Quận 5,2014-02-13 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2013-12-17 00:00:00,PKCK Mắt
Quận 6,2015-07-13 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Quận 10,2017-05-09 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2013-10-01 00:00:00,PKCK Răng Hàm Mặt
Tân Phú,2014-02-11 00:00:00,PKCK Răng Hàm Mặt
Gò Vấp,2013-11-08 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-10-08 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-09-23 00:00:00,PK Nội tổng hợp
Quận 5,2014-02-12 00:00:00,PK Nội tổng hợp
Quận 3,2013-10-02 00:00:00,PKCK Nhi
Quận 5,2014-04-22 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Bình,2015-12-18 00:00:00,PKCK Răng Hàm Mặt
Quận 1,2015-02-13 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2013-08-14 00:00:00,PKCK Nội Tim mạch
Quận 11,2014-05-06 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2014-04-21 00:00:00,PKCK Nhi
Bình Chánh,2015-07-07 00:00:00,PKCK Tai Mũi Họng
Hóc Môn,2014-01-07 00:00:00,PK đa khoa
Quận 7,2014-04-18 00:00:00,PKCK Sản phụ khoa
Quận 5,2013-12-13 00:00:00,PKCK Lao và bệnh phổi
Quận 8,2013-11-29 00:00:00,PKCK Sản phụ khoa
Quận 3,2014-02-25 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 3,2013-11-15 00:00:00,PKCK Răng Hàm Mặt
Bình Thạnh,2016-08-15 00:00:00,PKCK Sản phụ khoa
Phú Nhuận,2014-10-27 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-04-22 00:00:00,PKCK Tai Mũi Họng
Quận 5,2014-05-06 00:00:00,PK Nội tổng hợp
Quận 6,2015-08-19 00:00:00,PKCK Ngoại niệu
Củ Chi,2013-12-17 00:00:00,PKCK Tai Mũi Họng
Tân Phú,2014-10-30 00:00:00,"Cơ sở dịch vụ tiêm (chích), thay băng, đếm mạch, đo nhiệt độ, đo huyết áp"
Nhà Bè,2014-07-25 00:00:00,PK Nội tổng hợp
Quận 5,2014-05-15 00:00:00,PKCK Nội tiết
Quận 1,2014-09-24 00:00:00,PKCK Răng Hàm Mặt
Quận 11,2014-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2015-09-16 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2013-12-12 00:00:00,PK Nội tổng hợp
Gò Vấp,2014-05-30 00:00:00,PKCK Sản phụ khoa
Quận 4,2013-12-10 00:00:00,PKCK Răng Hàm Mặt
TP. Thủ Đức,2013-08-14 00:00:00,PK Nội tổng hợp
Phú Nhuận,2014-05-12 00:00:00,Phòng chẩn trị y học cổ truyền
Gò Vấp,2014-04-22 00:00:00,PKCK Nhi
Quận 11,2014-07-17 00:00:00,PKCK Tâm thần
Quận 8,2013-11-12 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2013-12-03 00:00:00,PK Nội tổng hợp
TP. Thủ Đức,2015-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 5,2014-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2014-02-13 00:00:00,PKCK Nội tiêu hóa
Quận 11,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 3,2014-02-12 00:00:00,PKCK Sản phụ khoa
Quận 11,2015-02-06 00:00:00,PKCK Sản phụ khoa
Quận 8,2014-03-19 00:00:00,PK Nội tổng hợp
Quận 11,2014-02-13 00:00:00,PKCK Nội thần kinh
Quận 11,2014-03-19 00:00:00,PKCK Da liễu
Bình Tân,2014-08-13 00:00:00,PKCK Tai Mũi Họng
Quận 6,2014-06-13 00:00:00,PKCK Tai Mũi Họng
Quận 10,2015-05-04 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2014-12-18 00:00:00,PK Nội tổng hợp
Quận 11,2014-02-12 00:00:00,PKCK Mắt
Bình Thạnh,2013-12-20 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2014-02-12 00:00:00,PKCK Da liễu
Quận 1,2013-06-05 00:00:00,PKCK Tâm thần
Quận 5,2014-03-25 00:00:00,PKCK Da liễu
Quận 6,2015-07-30 00:00:00,PK Nội tổng hợp
Quận 11,2013-05-04 00:00:00,PK Nội tổng hợp
Quận 1,2014-04-21 00:00:00,PK Nội tổng hợp
Quận 11,2015-10-29 00:00:00,PK Chẩn đoán hình ảnh
Quận 8,2014-05-08 00:00:00,PKCK Chấn thương chỉnh hình 
Tân Phú,2015-03-04 00:00:00,PKCK Sản phụ khoa
TP. Thủ Đức,2013-12-11 00:00:00,PK Nội tổng hợp
Bình Chánh,2014-10-23 00:00:00,PKCK Răng Hàm Mặt
Quận 7,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Tân Bình,2013-11-25 00:00:00,PKCK Sản phụ khoa
Bình Thạnh,2014-01-25 00:00:00,PK đa khoa
Hóc Môn,2014-04-24 00:00:00,PKCK Mắt
Bình Chánh,2014-11-25 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 6,2014-10-23 00:00:00,PK Nội tổng hợp
Củ Chi,2015-04-09 00:00:00,Phòng chẩn trị y học cổ truyền
Hóc Môn,2014-09-10 00:00:00,Phòng chẩn trị y học cổ truyền
Bình Tân,2014-02-12 00:00:00,PKCK Mắt
Quận 8,2015-04-01 00:00:00,PK Nội tổng hợp
Tân Bình,2015-04-17 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 7,2014-02-12 00:00:00,PKCK Răng Hàm Mặt
Quận 5,2017-02-21 00:00:00,PKCK Phẫu thuật thẩm mỹ
TP. Thủ Đức,2014-01-22 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 11,2015-12-28 00:00:00,PK Nội tổng hợp
Quận 12,2014-07-24 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 3,2014-04-21 00:00:00,PKCK Ngoại lồng ngực
Bình Thạnh,2015-05-06 00:00:00,PKCK Răng Hàm Mặt
Bình Chánh,2013-12-16 00:00:00,PKCK Tai Mũi Họng
Quận 11,2016-07-21 00:00:00,PKCK Chấn thương chỉnh hình 
TP. Thủ Đức,2014-10-08 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 12,2014-03-19 00:00:00,Phòng chẩn trị y học cổ truyền
Quận 10,2015-01-15 00:00:00,PKCK Chấn thương chỉnh hình 
Quận 3,2014-10-30 00:00:00,PKCK Nhi
Bình Chánh,2015-04-17 00:00:00,PKCK Sản phụ khoa
Quận 1,2013-12-16 00:00:00,PKCK Sản phụ khoa
Tân Bình,2015-12-16 00:00:00,Phòng chẩn trị y học cổ truyền
Cần Giờ,2015-12-21 00:00:00,Trạm y tế phường xã 
Quận 1,2014-08-13 00:00:00,PK Nội tổng hợp
Quận 6,2014-07-04 00:00:00,PKCK Tai Mũi Họng
Bình Thạnh,2013-10-03 00:00:00,PKCK Răng Hàm Mặt
Quận 6,2013-03-22 00:00:00,PK Nội tổng hợp
Củ Chi,2014-07-25 00:00:00,PK Nội tổng hợp
Bình Thạnh,2013-11-29 00:00:00,PKCK Răng Hàm Mặt
